	herb_id	herb_name	herb_type	target	Resource
87	HBIN040908	protocatechuic acid	Phenolic acid	PRKCB	Jinyinhua
88	HBIN040908	protocatechuic acid	Phenolic acid	PRKCA	Jinyinhua
89	HBIN040908	protocatechuic acid	Phenolic acid	CA2	Jinyinhua
90	HBIN040908	protocatechuic acid	Phenolic acid	BAX	Jinyinhua
91	HBIN040908	protocatechuic acid	Phenolic acid	PRSS3	Jinyinhua
92	HBIN040908	protocatechuic acid	Phenolic acid	CASP3	Jinyinhua
93	HBIN040908	protocatechuic acid	Phenolic acid	PRSS1	Jinyinhua
94	HBIN040908	protocatechuic acid	Phenolic acid	MTOR	Jinyinhua
95	HBIN040908	protocatechuic acid	Phenolic acid	LYZ	Jinyinhua
96	HBIN040908	protocatechuic acid	Phenolic acid	ACHE	Jinyinhua
97	HBIN040908	protocatechuic acid	Phenolic acid	PARK7	Jinyinhua
98	HBIN040908	protocatechuic acid	Phenolic acid	MAOB	Jinyinhua
99	HBIN040908	protocatechuic acid	Phenolic acid	RAS	Jinyinhua
100	HBIN040908	protocatechuic acid	Phenolic acid	PTGS2	Jinyinhua
101	HBIN040908	protocatechuic acid	Phenolic acid	CASP8	Jinyinhua
102	HBIN040908	protocatechuic acid	Phenolic acid	MMP2	Jinyinhua
103	HBIN040908	protocatechuic acid	Phenolic acid	IL10	Jinyinhua
104	HBIN040908	protocatechuic acid	Phenolic acid	PRKCG	Jinyinhua
105	HBIN040908	protocatechuic acid	Phenolic acid	RHOB	Jinyinhua
106	HBIN040908	protocatechuic acid	Phenolic acid	BCL2	Jinyinhua
107	HBIN040908	protocatechuic acid	Phenolic acid	NFKB1	Lianqiao
108	HBIN040908	protocatechuic acid	Phenolic acid	PTGS1	Lianqiao
109	HBIN040908	protocatechuic acid	Phenolic acid	IL1B	Lianqiao
110	HBIN040908	protocatechuic acid	Phenolic acid	DPEP1	Lianqiao
111	HBIN040908	protocatechuic acid	Phenolic acid	CASP9	Lianqiao
112	HBIN040908	protocatechuic acid	Phenolic acid	AKT1	Lianqiao
113	HBIN040908	protocatechuic acid	Phenolic acid	PRKCZ	Lianqiao
114	HBIN040908	protocatechuic acid	Phenolic acid	NFE2L2	Lianqiao
115	HBIN040908	protocatechuic acid	Phenolic acid	ALOX5	Lianqiao
116	HBIN040908	protocatechuic acid	Phenolic acid	MGAM	Lianqiao
117	HBIN040908	protocatechuic acid	Phenolic acid	CDK2	Lianqiao
118	HBIN040908	protocatechuic acid	Phenolic acid	PRKCB	Lianqiao
119	HBIN040908	protocatechuic acid	Phenolic acid	PRKCA	Lianqiao
120	HBIN040908	protocatechuic acid	Phenolic acid	CA2	Lianqiao
121	HBIN040908	protocatechuic acid	Phenolic acid	BAX	Lianqiao
122	HBIN040908	protocatechuic acid	Phenolic acid	PRSS3	Lianqiao
123	HBIN040908	protocatechuic acid	Phenolic acid	CASP3	Lianqiao
124	HBIN040908	protocatechuic acid	Phenolic acid	PRSS1	Lianqiao
125	HBIN040908	protocatechuic acid	Phenolic acid	MTOR	Lianqiao
126	HBIN040908	protocatechuic acid	Phenolic acid	LYZ	Lianqiao
127	HBIN040908	protocatechuic acid	Phenolic acid	ACHE	Lianqiao
128	HBIN040908	protocatechuic acid	Phenolic acid	PARK7	Lianqiao
129	HBIN040908	protocatechuic acid	Phenolic acid	MAOB	Lianqiao
130	HBIN040908	protocatechuic acid	Phenolic acid	RAS	Lianqiao
131	HBIN040908	protocatechuic acid	Phenolic acid	PTGS2	Lianqiao
132	HBIN040908	protocatechuic acid	Phenolic acid	CASP8	Lianqiao
133	HBIN040908	protocatechuic acid	Phenolic acid	MMP2	Lianqiao
134	HBIN040908	protocatechuic acid	Phenolic acid	IL10	Lianqiao
135	HBIN040908	protocatechuic acid	Phenolic acid	PRKCG	Lianqiao
136	HBIN040908	protocatechuic acid	Phenolic acid	RHOB	Lianqiao
137	HBIN040908	protocatechuic acid	Phenolic acid	BCL2	Lianqiao
138	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	CA2	Jinyinhua
139	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	ESR1	Jinyinhua
140	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	GSK3B	Jinyinhua
141	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	AR	Jinyinhua
142	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	PTGS2	Jinyinhua
143	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	NOS2	Jinyinhua
144	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	PRSS1	Jinyinhua
145	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	DPEP1	Jinyinhua
146	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	CDK2	Jinyinhua
147	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	DPP4	Jinyinhua
148	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	CA2	Niubangzi
149	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	ESR1	Niubangzi
150	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	GSK3B	Niubangzi
151	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	AR	Niubangzi
152	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	PTGS2	Niubangzi
153	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	NOS2	Niubangzi
154	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	PRSS1	Niubangzi
155	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	DPEP1	Niubangzi
156	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	CDK2	Niubangzi
157	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	DPP4	Niubangzi
158	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	CA2	Kuxingren
159	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	ESR1	Kuxingren
160	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	GSK3B	Kuxingren
161	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	AR	Kuxingren
162	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	PTGS2	Kuxingren
163	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	NOS2	Kuxingren
164	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	PRSS1	Kuxingren
165	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	DPEP1	Kuxingren
166	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	CDK2	Kuxingren
167	HBIN036584	neochlorogenic acid	Caffeoylquinic acid	DPP4	Kuxingren
168	HBIN033621	l-tryptophan	Amino acid	KYAT3	Mahuang
169	HBIN033621	l-tryptophan	Amino acid	PRSS27	Mahuang
170	HBIN033621	l-tryptophan	Amino acid	TRHDE	Mahuang
171	HBIN033621	l-tryptophan	Amino acid	TMPRSS3	Mahuang
172	HBIN033621	l-tryptophan	Amino acid	PAH	Mahuang
